,CODUSU,NRO_HOGAR,IDECIFR_x,IDECIFR_y,GDECIFR_x,GDECIFR_y,PDECIFR_x,PDECIFR_y,IDECCFR_x,IDECCFR_y,GDECCFR_x,GDECCFR_y,PDECCFR_x,PDECCFR_y
0,TQRMNORVWHLMKOCDEOHCH00720228,1,9.0,9.0,,,10.0,10.0,6.0,6.0,,,7.0,7.0
1,TQRMNORVWHLMKOCDEOHCH00720228,1,9.0,9.0,,,10.0,10.0,6.0,6.0,,,7.0,7.0
2,TQRMNORVWHLMKOCDEOHCH00720228,1,9.0,9.0,,,10.0,10.0,6.0,6.0,,,7.0,7.0
3,TQRMNORVWHLMKOCDEOHCH00720228,1,9.0,9.0,,,10.0,10.0,6.0,6.0,,,7.0,7.0
4,TQRMNORVWHLMKOCDEOHCH00720228,1,9.0,9.0,,,10.0,10.0,6.0,6.0,,,7.0,7.0
5,TQRMNOPSTHKMKPCDEOHCH00781447,1,6.0,6.0,,,6.0,6.0,10.0,10.0,,,10.0,10.0
6,TQRMNOQSXHMOKRCDEOHCH00803177,1,8.0,8.0,,,8.0,8.0,9.0,9.0,,,9.0,9.0
7,TQRMNOQSXHMOKRCDEOHCH00803177,1,8.0,8.0,,,8.0,8.0,9.0,9.0,,,9.0,9.0
8,TQRMNOQYTHMNKSCDEOHCH00803178,1,12.0,12.0,,,12.0,12.0,12.0,12.0,,,12.0,12.0
9,TQRMNOQYTHMNKSCDEOHCH00803178,1,12.0,12.0,,,12.0,12.0,12.0,12.0,,,12.0,12.0
10,TQRMNOQYTHMNKSCDEOHCH00803178,1,12.0,12.0,,,12.0,12.0,12.0,12.0,,,12.0,12.0
11,TQRMNOQYTHMNKSCDEOHCH00803178,1,12.0,12.0,,,12.0,12.0,12.0,12.0,,,12.0,12.0
12,TQRMNOQYTHMNKSCDEOHCH00803178,1,12.0,12.0,,,12.0,12.0,12.0,12.0,,,12.0,12.0
13,TQRMNOQYTHMNKSCDEOHCH00803178,1,12.0,12.0,,,12.0,12.0,12.0,12.0,,,12.0,12.0
14,TQRMNOPYXHLMKNCDEIOAH00720098,1,8.0,8.0,,,8.0,8.0,7.0,7.0,,,7.0,7.0
15,TQRMNOPYXHLMKNCDEIOAH00720098,1,8.0,8.0,,,8.0,8.0,7.0,7.0,,,7.0,7.0
16,TQRMNOPYXHLMKNCDEIOAH00720098,1,8.0,8.0,,,8.0,8.0,7.0,7.0,,,7.0,7.0
17,TQRMNOQTTHMNKPCDEIOAH00803054,1,5.0,5.0,,,5.0,5.0,9.0,9.0,,,9.0,9.0
18,TQRMNOSRPHLMKOCDEIOAH00720100,1,4.0,4.0,,,4.0,4.0,3.0,3.0,,,4.0,4.0
19,TQRMNOSRPHLMKOCDEIOAH00720100,1,4.0,4.0,,,4.0,4.0,3.0,3.0,,,4.0,4.0
20,TQRMNOSRPHLMKOCDEIOAH00720100,1,4.0,4.0,,,4.0,4.0,3.0,3.0,,,4.0,4.0
21,TQRMNOQUYHKMKQCDEIOAH00781302,1,7.0,7.0,,,7.0,7.0,10.0,10.0,,,10.0,10.0
22,TQRMNORUXHMMKPCDEIGED00801517,1,5.0,5.0,,,5.0,5.0,7.0,7.0,,,7.0,7.0
23,TQRMNORUXHMMKPCDEIGED00801517,1,5.0,5.0,,,5.0,5.0,7.0,7.0,,,7.0,7.0
